Country,Value
District of Columbia,71.15
Mississippi,73.14166667
Louisiana,73.56666667
Alabama,73.9
South Carolina,74.24166667
West Virginia,74.43333333
Georgia,74.45833333
Tennessee,74.50833333
Kentucky,74.51666667
Arkansas,74.56666667
Oklahoma,74.94166667
North Carolina,75.15833333
Nevada,75.5
Missouri,75.6
Indiana,75.65833333
Maryland,75.73333333
Ohio,75.75
Delaware,75.75833333
Michigan,75.84166667
Virginia,75.975
Texas,76.025
Illinois,76.03333333
Pennsylvania,76.08333333
Alaska,76.23333333
New Mexico,76.4
New York,76.56666667
Wyoming,76.625
Florida,76.73333333
New Jersey,76.73333333
Maine,76.81666667
Kansas,76.86666667
Montana,76.9
Arizona,76.95
Oregon,77.08333333
Rhode Island,77.16666667
Vermont,77.20833333
South Dakota,77.25
Nebraska,77.36666667
California,77.38333333
Idaho,77.4
Wisconsin,77.425
Iowa,77.45833333
New Hampshire,77.54166667
Washington,77.55
Massachusetts,77.58333333
Colorado,77.69166667
Connecticut,77.80833333
North Dakota,77.85833333
Utah,78.10833333
Minnesota,78.26666667
Hawaii,79.075
