states,code,life,obs,phy
Alabama,1,73.9,35.95,47.45
Alaska,2,76.23333333,32.6,59.26666667
Arizona,4,76.95,29.98333333,58.03333333
Arkansas,5,74.56666667,34.95,49.05
California,"""06""",77.38333333,28.5,58.51666667
Colorado,"""08""",77.69166667,24.66666667,63.01666667
Connecticut,"""09""",77.80833333,28.4,56.16666667
Delaware,"""10""",75.75833333,33.81666667,51.95
District of Columbia,"""11""",71.15,24.48333333,59.93333333
Florida,"""12""",76.73333333,31.28333333,53.58333333
Georgia,"""13""",74.45833333,33.16666667,51.78333333
Hawaii,"""15""",79.075,25.08333333,64.13333333
Idaho,"""16""",77.4,31.35,59.66666667
Illinois,"""17""",76.03333333,31.78333333,52.73333333
Indiana,"""18""",75.65833333,34.16666667,51.25
Iowa,"""19""",77.45833333,33.1,53.15
Kansas,"""20""",76.86666667,32.91666667,52.45
Kentucky,"""21""",74.51666667,34.95,45.53333333
Louisiana,"""22""",73.56666667,36.8,46.26666667
Maine,"""23""",76.81666667,30.33333333,59.26666667
Maryland,"""24""",75.73333333,31.78333333,54.31666667
Massachusetts,"""25""",77.58333333,28.16666667,57.53333333
Michigan,"""26""",75.84166667,34.46666667,55.65
Minnesota,"""27""",78.26666667,30.81666667,58.61666667
Mississippi,"""28""",73.14166667,37.71666667,44.48333333
Missouri,"""29""",75.6,34.15,52.21666667
Montana,"""30""",76.9,28.8,59.68333333
Nebraska,"""31""",77.36666667,33,52.76666667
Nevada,"""32""",75.5,30.25,55.1
New Hampshire,"""33""",77.54166667,30.03333333,60.26666667
New Jersey,"""34""",76.73333333,29.91666667,53.1
New Mexico,"""35""",76.4,29.58333333,56.71666667
New York,"""36""",76.56666667,29.38333333,52.31666667
North Carolina,"""37""",75.15833333,33.3,51.4
North Dakota,"""38""",77.85833333,33.4,53.68333333
Ohio,"""39""",75.75,33.96666667,53.31666667
Oklahoma,"""40""",74.94166667,34.43333333,48.66666667
Oregon,"""41""",77.08333333,30.55,62.18333333
Pennsylvania,"""42""",76.08333333,33.03333333,54.15
Rhode Island,"""44""",77.16666667,29.81666667,53.73333333
South Carolina,"""45""",74.24166667,34.1,52.76666667
South Dakota,"""46""",77.25,33.01666667,52.3
Tennessee,"""47""",74.50833333,34.4,44.41666667
Texas,"""48""",76.025,33.98333333,52.05
Utah,"""49""",78.10833333,29.85,60.3
Vermont,"""50""",77.20833333,27.2,62.96666667
Virginia,"""51""",75.975,31.78333333,55.01666667
Washington,"""53""",77.55,31.05,61.41666667
West Virginia,"""54""",74.43333333,35.9,47
Wisconsin,"""55""",77.425,32.43333333,58.61666667
Wyoming,"""56""",76.625,29.86666667,58.31666667
