Country,,Value
Alabama,,35.95
Alaska,,32.6
Arizona,,29.98333333
Arkansas,,34.95
California,,28.5
Colorado,,24.66666667
Connecticut,,28.4
Delaware,,33.81666667
District of Columbia,,24.48333333
Florida,,31.28333333
Georgia,,33.16666667
Hawaii,,25.08333333
Idaho,,31.35
Illinois,,31.78333333
Indiana,,34.16666667
Iowa,,33.1
Kansas,,32.91666667
Kentucky,,34.95
Louisiana,,36.8
Maine,,30.33333333
Maryland,,31.78333333
Massachusetts,,28.16666667
Michigan,,34.46666667
Minnesota,,30.81666667
Mississippi,,37.71666667
Missouri,,34.15
Montana,,28.8
Nebraska,,33
Nevada,,30.25
New Hampshire,,30.03333333
New Jersey,,29.91666667
New Mexico,,29.58333333
New York,,29.38333333
North Carolina,,33.3
North Dakota,,33.4
Ohio,,33.96666667
Oklahoma,,34.43333333
Oregon,,30.55
Pennsylvania,,33.03333333
Rhode Island,,29.81666667
South Carolina,,34.1
South Dakota,,33.01666667
Tennessee,,34.4
Texas,,33.98333333
Utah,,29.85
Vermont,,27.2
Virginia,,31.78333333
Washington,,31.05
West Virginia,,35.9
Wisconsin,,32.43333333
Wyoming,,29.86666667
